編號,交易日期,交易時段
342,2016/6/1,一般
343,2016/6/2,一般
344,2016/6/3,一般
345,2016/6/4,一般
346,2016/6/6,一般
347,2016/6/7,一般
348,2016/6/8,一般
349,2016/6/13,一般
350,2016/6/14,一般
351,2016/6/15,一般
352,2016/6/16,一般
353,2016/6/17,一般
354,2016/6/20,一般
355,2016/6/21,一般
356,2016/6/22,一般
357,2016/6/23,一般
358,2016/6/24,一般
359,2016/6/27,一般
360,2016/6/28,一般
361,2016/6/29,一般
362,2016/6/30,一般
363,2016/7/1,一般
364,2016/7/4,一般
365,2016/7/5,一般
366,2016/7/6,一般
367,2016/7/7,一般
368,2016/7/11,一般
369,2016/7/12,一般
370,2016/7/13,一般
371,2016/7/14,一般
372,2016/7/15,一般
373,2016/7/18,一般
374,2016/7/19,一般
375,2016/7/20,一般
376,2016/7/21,一般
377,2016/7/22,一般
378,2016/7/25,一般
379,2016/7/26,一般
380,2016/7/27,一般
381,2016/7/28,一般
382,2016/7/29,一般
383,2016/8/1,一般
384,2016/8/2,一般
385,2016/8/3,一般
386,2016/8/4,一般
387,2016/8/5,一般
388,2016/8/8,一般
389,2016/8/9,一般
390,2016/8/10,一般
391,2016/8/11,一般
392,2016/8/12,一般
393,2016/8/15,一般
394,2016/8/16,一般
395,2016/8/17,一般
396,2016/8/18,一般
397,2016/8/19,一般
398,2016/8/22,一般
399,2016/8/23,一般
400,2016/8/24,一般
401,2016/8/25,一般
402,2016/8/26,一般
403,2016/8/29,一般
404,2016/8/30,一般
405,2016/8/31,一般
406,2016/9/1,一般
407,2016/9/2,一般
408,2016/9/5,一般
409,2016/9/6,一般
410,2016/9/7,一般
411,2016/9/8,一般
412,2016/9/9,一般
413,2016/9/10,一般
414,2016/9/12,一般
415,2016/9/13,一般
416,2016/9/14,一般
417,2016/9/19,一般
418,2016/9/20,一般
419,2016/9/21,一般
420,2016/9/22,一般
421,2016/9/23,一般
422,2016/9/26,一般
423,2016/9/29,一般
424,2016/9/30,一般
425,2016/10/3,一般
426,2016/10/4,一般
427,2016/10/5,一般
428,2016/10/6,一般
429,2016/10/7,一般
430,2016/10/11,一般
431,2016/10/12,一般
432,2016/10/13,一般
433,2016/10/14,一般
434,2016/10/17,一般
435,2016/10/18,一般
436,2016/10/19,一般
437,2016/10/20,一般
438,2016/10/21,一般
439,2016/10/24,一般
440,2016/10/25,一般
441,2016/10/26,一般
442,2016/10/27,一般
443,2016/10/28,一般
444,2016/10/31,一般
445,2016/11/1,一般
446,2016/11/2,一般
447,2016/11/3,一般
448,2016/11/4,一般
449,2016/11/7,一般
450,2016/11/8,一般
451,2016/11/9,一般
452,2016/11/10,一般
453,2016/11/11,一般
454,2016/11/14,一般
455,2016/11/15,一般
456,2016/11/16,一般
457,2016/11/17,一般
458,2016/11/18,一般
459,2016/11/21,一般
460,2016/11/22,一般
461,2016/11/23,一般
462,2016/11/24,一般
463,2016/11/25,一般
464,2016/11/28,一般
465,2016/11/29,一般
466,2016/11/30,一般
467,2016/12/1,一般
468,2016/12/2,一般
469,2016/12/5,一般
470,2016/12/6,一般
471,2016/12/7,一般
472,2016/12/8,一般
473,2016/12/9,一般
474,2016/12/12,一般
475,2016/12/13,一般
476,2016/12/14,一般
477,2016/12/15,一般
478,2016/12/16,一般
479,2016/12/19,一般
480,2016/12/20,一般
481,2016/12/21,一般
482,2016/12/22,一般
483,2016/12/23,一般
484,2016/12/26,一般
485,2016/12/27,一般
486,2016/12/28,一般
487,2016/12/29,一般
488,2016/12/30,一般
489,2017/1/3,一般
490,2017/1/4,一般
491,2017/1/5,一般
492,2017/1/6,一般
493,2017/1/9,一般
494,2017/1/10,一般
495,2017/1/11,一般
496,2017/1/12,一般
497,2017/1/13,一般
498,2017/1/16,一般
499,2017/1/17,一般
500,2017/1/18,一般
501,2017/1/19,一般
502,2017/1/20,一般
503,2017/1/23,一般
504,2017/1/24,一般
505,2017/2/2,一般
506,2017/2/3,一般
507,2017/2/6,一般
508,2017/2/7,一般
509,2017/2/8,一般
510,2017/2/9,一般
511,2017/2/10,一般
512,2017/2/13,一般
513,2017/2/14,一般
514,2017/2/15,一般
515,2017/2/16,一般
516,2017/2/17,一般
517,2017/2/18,一般
518,2017/2/20,一般
519,2017/2/21,一般
520,2017/2/22,一般
521,2017/2/23,一般
