編號,交易日期,契約,到期月份(週別),收盤價,交易時段,類型,剩餘天數,價平
78,2015/5/6,MTX,201506,9859,一般,遠月,30,9900
79,2015/5/7,MTX,201505W2,9731,一般,近週,4,9750
79,2015/5/7,MTX,201505,9751,一般,近月,9,9800
79,2015/5/7,MTX,201506,9762,一般,遠月,29,9800
80,2015/5/8,MTX,201505W2,9696,一般,近週,3,9700
80,2015/5/8,MTX,201505,9718,一般,近月,8,9700
80,2015/5/8,MTX,201506,9730,一般,遠月,28,9700
81,2015/5/11,MTX,201505W2,9693,一般,近週,2,9700
81,2015/5/11,MTX,201505,9723,一般,近月,7,9700
81,2015/5/11,MTX,201506,9732,一般,遠月,27,9700
82,2015/5/12,MTX,201505W2,9679,一般,近週,1,9700
82,2015/5/12,MTX,201505,9707,一般,近月,6,9700
82,2015/5/12,MTX,201506,9718,一般,遠月,26,9700
83,2015/5/13,MTX,201505W2,9737,一般,近週,0,9750
83,2015/5/13,MTX,201505,9739,一般,近月,5,9750
83,2015/5/13,MTX,201506,9743,一般,遠月,25,9700
84,2015/5/14,MTX,201505,9604,一般,近月,4,9600
84,2015/5/14,MTX,201506,9606,一般,遠月,24,9600
85,2015/5/15,MTX,201505,9576,一般,近月,3,9600
85,2015/5/15,MTX,201506,9569,一般,遠月,23,9600
86,2015/5/18,MTX,201505,9600,一般,近月,2,9600
86,2015/5/18,MTX,201506,9601,一般,遠月,22,9600
87,2015/5/19,MTX,201505,9703,一般,近月,1,9700
87,2015/5/19,MTX,201506,9703,一般,遠月,21,9700
88,2015/5/20,MTX,201505,9668,一般,近月,0,9650
88,2015/5/20,MTX,201505W4,9688,一般,遠週,5,9700
88,2015/5/20,MTX,201506,9677,一般,遠月,20,9700
89,2015/5/21,MTX,201505W4,9553,一般,近週,4,9550
89,2015/5/21,MTX,201506,9541,一般,近月,19,9500
89,2015/5/21,MTX,201507,9420,一般,遠月,37,9400
90,2015/5/22,MTX,201505W4,9641,一般,近週,3,9650
90,2015/5/22,MTX,201506,9627,一般,近月,18,9600
90,2015/5/22,MTX,201507,9500,一般,遠月,36,9500
91,2015/5/25,MTX,201505W4,9651,一般,近週,2,9650
91,2015/5/25,MTX,201506,9631,一般,近月,17,9600
91,2015/5/25,MTX,201507,9505,一般,遠月,35,9500
92,2015/5/26,MTX,201505W4,9675,一般,近週,1,9700
92,2015/5/26,MTX,201506,9660,一般,近月,16,9700
92,2015/5/26,MTX,201507,9532,一般,遠月,34,9500
93,2015/5/27,MTX,201505W4,9696,一般,近週,0,9700
93,2015/5/27,MTX,201506,9661,一般,近月,15,9700
93,2015/5/27,MTX,201506W1,9666,一般,遠週,5,9650
93,2015/5/27,MTX,201507,9533,一般,遠月,33,9500
94,2015/5/28,MTX,201506W1,9738,一般,近週,4,9750
94,2015/5/28,MTX,201506,9730,一般,近月,14,9700
94,2015/5/28,MTX,201507,9600,一般,遠月,32,9600
95,2015/5/29,MTX,201506W1,9713,一般,近週,3,9700
95,2015/5/29,MTX,201506,9703,一般,近月,13,9700
95,2015/5/29,MTX,201507,9576,一般,遠月,31,9600
96,2015/6/1,MTX,201506W1,9642,一般,近週,2,9650
96,2015/6/1,MTX,201506,9631,一般,近月,12,9600
96,2015/6/1,MTX,201507,9509,一般,遠月,30,9500
97,2015/6/2,MTX,201506W1,9616,一般,近週,1,9600
97,2015/6/2,MTX,201506,9605,一般,近月,11,9600
97,2015/6/2,MTX,201507,9477,一般,遠月,29,9500
98,2015/6/3,MTX,201506W1,9561,一般,近週,0,9550
98,2015/6/3,MTX,201506,9548,一般,近月,10,9500
98,2015/6/3,MTX,201506W2,9555,一般,遠週,5,9550
98,2015/6/3,MTX,201507,9421,一般,遠月,28,9400
99,2015/6/4,MTX,201506W2,9342,一般,近週,4,9350
99,2015/6/4,MTX,201506,9310,一般,近月,9,9300
99,2015/6/4,MTX,201507,9185,一般,遠月,27,9200
100,2015/6/5,MTX,201506W2,9323,一般,近週,3,9300
100,2015/6/5,MTX,201506,9309,一般,近月,8,9300
100,2015/6/5,MTX,201507,9182,一般,遠月,26,9200
101,2015/6/8,MTX,201506W2,9366,一般,近週,2,9350
101,2015/6/8,MTX,201506,9350,一般,近月,7,9400
101,2015/6/8,MTX,201507,9222,一般,遠月,25,9200
102,2015/6/9,MTX,201506W2,9236,一般,近週,1,9250
102,2015/6/9,MTX,201506,9237,一般,近月,6,9200
102,2015/6/9,MTX,201507,9113,一般,遠月,24,9100
103,2015/6/10,MTX,201506W2,9307,一般,近週,0,9300
103,2015/6/10,MTX,201506,9287,一般,近月,5,9300
103,2015/6/10,MTX,201507,9160,一般,遠月,23,9200
104,2015/6/11,MTX,201506,9286,一般,近月,4,9300
104,2015/6/11,MTX,201507,9160,一般,遠月,22,9200
105,2015/6/12,MTX,201506,9267,一般,近月,3,9250
105,2015/6/12,MTX,201507,9141,一般,遠月,21,9100
106,2015/6/15,MTX,201506,9245,一般,近月,2,9250
106,2015/6/15,MTX,201507,9109,一般,遠月,20,9100
107,2015/6/16,MTX,201506,9215,一般,近月,1,9200
107,2015/6/16,MTX,201507,9043,一般,遠月,19,9000
108,2015/6/17,MTX,201506,9180,一般,近月,0,9200
108,2015/6/17,MTX,201506W4,9211,一般,遠週,4,9200
108,2015/6/17,MTX,201507,9055,一般,遠月,18,9100
109,2015/6/18,MTX,201506W4,9208,一般,近週,3,9200
109,2015/6/18,MTX,201507,9049,一般,近月,17,9000
109,2015/6/18,MTX,201508,8919,一般,遠月,42,8900
110,2015/6/22,MTX,201506W4,9346,一般,近週,2,9350
110,2015/6/22,MTX,201507,9180,一般,近月,16,9200
110,2015/6/22,MTX,201508,9038,一般,遠月,41,9000
111,2015/6/23,MTX,201506W4,9403,一般,近週,1,9400
111,2015/6/23,MTX,201507,9232,一般,近月,15,9200
111,2015/6/23,MTX,201508,9084,一般,遠月,40,9100
112,2015/6/24,MTX,201506W4,9380,一般,近週,0,9400
112,2015/6/24,MTX,201507,9247,一般,近月,14,9200
112,2015/6/24,MTX,201507W1,9338,一般,遠週,5,9350
112,2015/6/24,MTX,201508,9104,一般,遠月,39,9100
113,2015/6/25,MTX,201507W1,9421,一般,近週,4,9400
113,2015/6/25,MTX,201507,9343,一般,近月,13,9300
113,2015/6/25,MTX,201508,9210,一般,遠月,38,9200
114,2015/6/26,MTX,201507W1,9406,一般,近週,3,9400
114,2015/6/26,MTX,201507,9324,一般,近月,12,9300
114,2015/6/26,MTX,201508,9193,一般,遠月,37,9200
115,2015/6/29,MTX,201507W1,9222,一般,近週,2,9200
115,2015/6/29,MTX,201507,9138,一般,近月,11,9100
115,2015/6/29,MTX,201508,9000,一般,遠月,36,9000
116,2015/6/30,MTX,201507W1,9294,一般,近週,1,9300
116,2015/6/30,MTX,201507,9211,一般,近月,10,9200
116,2015/6/30,MTX,201508,9075,一般,遠月,35,9100
117,2015/7/1,MTX,201507W1,9389,一般,近週,0,9400
117,2015/7/1,MTX,201507,9292,一般,近月,9,9300
117,2015/7/1,MTX,201507W2,9354,一般,遠週,5,9350
117,2015/7/1,MTX,201508,9153,一般,遠月,34,9200
118,2015/7/2,MTX,201507W2,9359,一般,近週,4,9350
118,2015/7/2,MTX,201507,9276,一般,近月,8,9300
118,2015/7/2,MTX,201508,9137,一般,遠月,33,9100
